creation_date,listing_active_count,num_favorers,currency_code,sale_message,sales_count,review_count,shop_location,country
19-Nov,17,1,GBP,False,0,0,"Huddersfield, United Kingdom",United Kingdom
19-Nov,5,8,USD,False,1,1,"Escondido, California",United States
19-Dec,4,1,USD,True,0,0,"Austin, Texas",United States
19-Dec,4,0,USD,False,0,0,"New York, United States",United States
19-Nov,10,2,USD,False,0,0,"Kingman, Arizona",United States
19-Nov,15,7,USD,True,7,0,"Iowa, United States",United States
19-Nov,47,2,GBP,False,1,1,"Aberdeen, United Kingdom",United Kingdom
19-Nov,3,2,USD,False,0,0,"St Louis, Missouri",United States
19-Dec,16,2,USD,False,0,0,"Los Angeles, California",United States
19-Nov,1,0,CAD,False,0,0,"Guelph, Canada",Canada
19-Nov,24,5,USD,True,3,2,"Parker, Colorado",United States
19-Nov,1,0,USD,False,0,0,"Baltimore, Maryland",United States
19-Dec,16,0,USD,False,0,0,"Lancaster, Pennsylvania",United States
19-Nov,2,0,USD,False,0,0,"Sacramento, California",United States
19-Dec,2,0,USD,False,0,0,"Fort Collins, Colorado",United States
19-Nov,3,0,CAD,False,0,0,"Calgary, Canada",Canada
19-Nov,29,2,USD,True,1,0,"Patton, Pennsylvania",United States
19-Nov,0,2,USD,False,10,0,"League City, Texas",United States
19-Nov,1,0,USD,False,0,0,"Saint Paul, Minnesota",United States
19-Nov,2,0,USD,False,0,0,"Olympia Fields, Illinois",United States
19-Nov,1,0,USD,False,1,0,"San Diego, California",United States
19-Nov,7,2,USD,False,1,0,"Franklinville, New Jersey",United States
19-Nov,16,1,USD,False,0,0,"San Francisco, California",United States
19-Nov,6,0,USD,False,0,0,"Atlanta, Georgia",United States
19-Nov,1,0,USD,False,0,0,"San Francisco, California",United States
19-Nov,1,0,GBP,False,0,0,"Manchester, United Kingdom",United Kingdom
19-Nov,1,0,USD,False,0,0,"North Carolina, United States",United States
19-Nov,11,1,USD,False,0,0,"Portland, Oregon",United States
19-Nov,23,8,GBP,False,23,1,"Dundee, United Kingdom",United Kingdom
19-Nov,9,6,EUR,False,4,3,"Ponte di Serravalle, Italy",Italy
19-Dec,1,0,USD,True,0,0,"Ocala, Florida",United States
19-Nov,1,0,USD,False,0,0,"St. Petersburg, Florida",United States
19-Nov,29,9,USD,False,1,0,"Chamberlain, South Dakota",United States
19-Nov,2,0,USD,False,0,0,"Antrim, New Hampshire",United States
19-Nov,21,1,USD,True,4,0,"Redmond, Oregon",United States
19-Nov,0,1,USD,True,0,0,"Charlotte, North Carolina",United States
19-Nov,62,1,CAD,False,0,0,"Toronto, Canada",Canada
19-Nov,1,1,USD,False,0,0,"Eskişehir, Turkey",Turkey
19-Nov,14,2,USD,False,0,0,"Dale, Indiana",United States
19-Nov,2,1,USD,False,0,0,"Edwardsville, Illinois",United States
19-Nov,0,2,USD,True,0,0,"Amarillo, Texas",United States
19-Nov,2,0,USD,False,0,0,"Los Angeles, California",United States
19-Nov,5,0,EUR,False,0,0,"Tuzla, Bosnia and Herzegovina",Bosnia and Herzegovina
19-Nov,3,2,USD,False,4,0,"Beverly Hills, California",United States
19-Dec,2,0,GBP,False,0,0,"London, United Kingdom",United Kingdom
19-Nov,29,3,USD,True,5,0,"Ohio, United States",United States
19-Nov,125,2,USD,True,4,1,"Reno, Nevada",United States
19-Nov,4,0,USD,False,2,0,"Saratoga Springs, Utah",United States
19-Dec,6,0,USD,False,0,0,"Arlington, Texas",United States
19-Nov,0,0,USD,False,0,0,"Mariupol, Ukraine",Ukraine
19-Nov,2,0,GBP,False,0,0,"Bristol, United Kingdom",United Kingdom
19-Nov,2,3,USD,True,0,0,"Youngsville, Louisiana",United States
19-Nov,7,2,USD,False,8,1,"Oakland, California",United States
19-Dec,9,0,CAD,False,1,0,"Vancouver, Canada",Canada
19-Nov,1,1,GBP,False,0,0,"Hereford, United Kingdom",United Kingdom
19-Nov,33,0,USD,False,0,0,"Oregon, United States",United States
19-Nov,15,0,USD,True,0,0,"Bowie, Maryland",United States
19-Nov,5,1,USD,False,0,0,"Wichita, Kansas",United States
19-Nov,12,0,USD,False,0,0,"Texas, United States",United States
19-Nov,2,0,USD,False,0,0,"Moses Lake, Washington",United States
19-Nov,4,0,GBP,False,0,0,"Southampton, United Kingdom",United Kingdom
19-Nov,1,0,USD,False,0,0,"Berlin, Germany",Germany
19-Nov,1,0,USD,False,0,0,"Mérida, Mexico",Mexico
19-Nov,0,1,USD,False,0,0,"Remington, Virginia",United States
19-Dec,1,1,USD,False,0,0,"Nakina, North Carolina",United States
19-Nov,8,5,USD,False,2,0,"Akron, Ohio",United States
19-Nov,9,1,USD,True,2,0,"Columbus, Ohio",United States
19-Nov,8,1,USD,False,0,0,"San Francisco, California",United States
19-Nov,2,0,USD,False,2,0,"Las Vegas, Nevada",United States
19-Nov,2,0,USD,False,0,0,"Kyiv City, Ukraine",Ukraine
19-Nov,4,1,USD,False,0,0,"Smithtown, New York",United States
19-Nov,4,2,GBP,False,0,0,"London, United Kingdom",United Kingdom
19-Nov,85,1,USD,False,3,0,"Portland, Oregon",United States
19-Nov,6,0,GBP,False,0,0,"London, United Kingdom",United Kingdom
19-Nov,22,0,EUR,False,0,0,"Toulouse, France",France
19-Nov,9,3,USD,False,6,0,"Sioux Falls, South Dakota",United States
19-Nov,1,0,USD,False,0,0,"Boonville, Missouri",United States
19-Nov,2,0,USD,False,0,0,"Prague, Czechia",Czechia
19-Nov,12,28,USD,False,33,1,"Rochester, New York",United States
19-Nov,13,0,GBP,False,0,0,"London, United Kingdom",United Kingdom
19-Nov,11,3,USD,False,0,0,"San Jose, California",United States
19-Nov,7,0,CAD,False,0,0,"Ontario, Canada",Canada
19-Nov,7,0,EUR,False,0,0,"Auvergne-Rhône-Alpes, France",France
19-Nov,2,1,GBP,False,3,0,"London, United Kingdom",United Kingdom
19-Nov,61,7,USD,True,25,0,"South Carolina, United States",United States
19-Nov,4,0,GBP,False,12,0,"Portreath, United Kingdom",United Kingdom
19-Nov,2,4,USD,False,7,0,"Pittsburgh, Pennsylvania",United States
19-Dec,2,0,USD,False,3,0,"Michigan, United States",United States
19-Nov,2,0,USD,True,1,0,"Atlanta, Georgia",United States
19-Dec,5,1,USD,False,0,0,"New York, United States",United States
19-Nov,61,33,USD,False,36,0,"Everett, Washington",United States
19-Nov,9,4,USD,False,29,0,"Memphis, Tennessee",United States
19-Nov,0,0,EUR,False,0,0,"Épernay, France",France
19-Nov,19,0,GBP,False,0,0,"Winchester, United Kingdom",United Kingdom
19-Nov,3,0,EUR,False,0,0,"Bailleul, France",France
19-Nov,5,0,EUR,False,0,0,"Bologna, Italy",Italy
19-Nov,3,0,EUR,False,0,0,"Tirana, Albania",Albania
19-Nov,0,0,USD,False,0,0,"Eddystone, Pennsylvania",United States
19-Nov,4,0,CAD,False,0,0,"Salmon Arm, Canada",Canada
19-Nov,7,2,USD,False,1,0,"Hutto, Texas",United States
19-Nov,1,0,CAD,False,0,0,"Alberta, Canada",Canada
19-Dec,5,2,USD,False,0,0,"Atlanta, Georgia",United States
19-Nov,19,1,USD,True,0,0,"Houston, Texas",United States
19-Nov,10,2,USD,True,9,0,"Pittsburgh, Pennsylvania",United States
19-Nov,2,2,USD,False,0,0,"Miami, Florida",United States
19-Nov,3,1,EUR,False,0,0,"Brussels, Belgium",Belgium
19-Nov,6,0,GBP,False,0,0,"Saltash, United Kingdom",United Kingdom
19-Nov,7,1,USD,False,0,0,"Sofia, Bulgaria",Bulgaria
19-Nov,8,3,USD,False,1,0,"Colorado, United States",United States
19-Nov,20,1,EUR,False,0,0,"Rouen, France",France
19-Nov,21,2,USD,False,3,1,"Hanover, Maryland",United States
19-Nov,4,1,USD,False,0,0,"Bangkok, Thailand",Thailand
19-Nov,2,0,CAD,False,3,0,"Toronto, Canada",Canada
19-Nov,3,0,USD,False,0,0,"Queens Village, New York",United States
19-Nov,5,2,USD,False,0,0,"Broomfield, Colorado",United States
19-Nov,2,0,USD,False,0,0,"Columbus, Mississippi",United States
19-Dec,12,4,USD,False,1,0,"Fort Lauderdale, Florida",United States
19-Nov,8,3,USD,False,0,0,"Dacula, Georgia",United States
19-Dec,2,0,USD,False,0,0,"Kumasi, Ghana",Ghana
19-Dec,1,0,USD,False,0,0,"Tampa, Florida",United States
19-Nov,4,1,GBP,True,4,0,"Keighley, United Kingdom",United Kingdom
19-Nov,0,0,EUR,False,0,0,"Leeuwarden, The Netherlands",The Netherlands
19-Nov,4,0,EUR,False,0,0,"Paris, France",France
19-Nov,1,0,USD,False,0,0,"Omsk, Russia",Russia
19-Nov,1,0,USD,False,0,0,"San Diego, California",United States
19-Nov,18,0,EUR,False,4,0,"Badajoz, Spain",Spain
19-Nov,7,1,USD,False,0,0,"Atlanta, Georgia",United States
19-Nov,94,6,USD,True,55,1,"Bowling Green, Kentucky",United States
19-Nov,6,0,CAD,False,0,0,"Calgary, Canada",Canada
19-Nov,10,5,USD,False,3,0,"Indiana, United States",United States
19-Nov,19,1,USD,False,1,0,"Howrah, India",India
19-Nov,20,5,USD,False,0,0,"Charlotte, North Carolina",United States
19-Nov,1,0,USD,False,0,0,"Riverside, California",United States
19-Nov,5,1,USD,False,0,0,"Dallas, Texas",United States
19-Nov,9,1,GBP,False,0,0,"Manchester, United Kingdom",United Kingdom
19-Nov,4,1,USD,False,0,0,"Minneapolis, Minnesota",United States
19-Nov,16,2,USD,False,1,0,"Brooklyn, New York",United States
19-Nov,8,4,USD,False,69,6,"Atwater, California",United States
19-Nov,3,0,GBP,False,0,0,"Bolton, United Kingdom",United Kingdom
19-Nov,4,1,USD,False,0,0,"Moscow, Russia",Russia
19-Dec,2,0,USD,False,0,0,"Pikeville, North Carolina",United States
19-Nov,0,0,USD,False,0,0,"Morton Grove, Illinois",United States
19-Nov,1,0,USD,False,0,0,"Kansas City, Missouri",United States
19-Nov,5,1,USD,True,1,0,"Indianapolis, Indiana",United States
19-Nov,1,8,GBP,False,83,4,"London, United Kingdom",United Kingdom
19-Nov,7,0,GBP,False,0,0,"Portsmouth, United Kingdom",United Kingdom
19-Nov,3,1,USD,False,0,0,"Upland, California",United States
19-Nov,1,0,USD,False,0,0,"Raleigh, North Carolina",United States
19-Nov,8,2,EUR,False,0,0,"Valladolid, Spain",Spain
19-Nov,1,0,USD,False,0,0,"Berkeley, California",United States
19-Nov,0,0,USD,False,0,0,"Parker, Colorado",United States
19-Nov,1,0,USD,False,0,0,"Kerala, India",India
19-Dec,3,2,USD,False,0,0,United States,United States
19-Nov,19,1,USD,False,0,0,"Ann Arbor, Michigan",United States
19-Nov,1,0,GBP,False,0,0,"Rugby, United Kingdom",United Kingdom
19-Nov,2,0,USD,False,0,0,"Kennebunk, Maine",United States
19-Nov,1,2,USD,False,0,0,"Winona, Minnesota",United States
19-Dec,10,0,GBP,False,0,0,"Doncaster, United Kingdom",United Kingdom
19-Nov,30,0,GBP,True,0,0,"Colchester, United Kingdom",United Kingdom
19-Nov,1,0,USD,False,0,0,"Kyiv City, Ukraine",Ukraine
19-Nov,5,3,USD,False,1,0,"Cincinnati, Ohio",United States
19-Nov,1,0,USD,False,0,0,"Kimberton, Pennsylvania",United States
19-Nov,1,0,GBP,False,0,0,"London, United Kingdom",United Kingdom
19-Nov,10,1,USD,False,0,0,"Cincinnati, Ohio",United States
19-Nov,3,2,USD,False,0,0,"Salisbury, North Carolina",United States
19-Nov,2,0,EUR,False,0,0,"Brussels, Belgium",Belgium
19-Nov,1,0,USD,False,0,0,"Hanoi, Vietnam",Vietnam
